x,y
97.5404049994095,278.498218867048
546.881519204984,957.506835434298
964.888535199276,157.613081677548
970.592781760616,957.166948242946
485.375648722841,800.2804688888
141.886338627215,421.761282626275
915.735525189067,792.207329559554
959.492426392903,655.740699156587
35.7116785741896,849.129305868777
933.993247757551,678.735154857774
757.740130578333,743.132468124916
392.227019534168,655.477890177557
171.186687811562,706.046088019609
31.8328463774207,276.92298496089
46.1713906311539,97.1317812358475
823.457828327293,694.828622975817
317.099480060861,950.222048838355
34.4460805029088,438.744359656398
381.558457093008,765.516788149002
795.199901137063,186.872604554379
489.764395788231,445.5862007109
646.313010111265,709.364830858073
754.686681982361,276.025076998578
679.702676853675,655.098003973841
162.611735194631,118.997681558377
498.364051982143,959.743958516081
340.385726666133,585.267750979777
223.811939491137,751.267059305653
255.095115459269,505.957051665142
699.076722656686,890.903252535799
959.291425205444,547.215529963803
138.624442828679,149.294005559057
257.508254123736,840.717255983663
254.282178971531,814.284826068816
243.524968724989,929.263623187228
349.983765984809,196.595250431208
251.083857976031,616.044676146639
473.288848902729,351.659507062997
830.828627896291,585.264091152724
549.723608291139,917.19366382981
285.839018820374,757.200229110721
753.729094278495,380.445846975357
567.821640725221,75.8542895630636
53.9501186666072,530.797553008973
779.167230102011,934.010684229183
129.90620847373,568.823660872193
469.390641058206,11.9020695012414
337.122644398882,162.182308193243
794.284540683907,311.215042044805
528.533135506213,165.648729499781
601.981941401637,262.971284540144
654.079098476782,689.214503140008
748.15159282371,450.541598502498
83.8213779969326,228.976968716819
913.33736150167,152.378018969223
825.816977489547,538.342435260057
996.134716626886,78.1755287531837
442.678269775446,106.652770180584
961.898080855054,4.63422413406744
774.910464711502,817.303220653433
868.69470536351,84.4358455109103
399.782649098897,259.870402850654
800.068480224308,431.413827463545
910.647594429523,181.847028302852
263.80291652199,145.538980384717
136.068558708664,869.292207640089
579.70458736557,549.860201836332
144.954798223727,853.031117721894
622.055131485066,350.952380892271
513.249539867053,401.808033751942
75.9666916908419,239.916153553658
123.318934835166,183.907788282417
239.952525664903,417.267069084369
49.6544303257421,902.716109915281
944.787189721646,490.86409246808
489.252638400019,337.719409821377
900.053846417662,369.246781120215
111.202755293787,780.252068321138
389.738836961253,241.691285913833
403.912145588115,96.4545251683886
131.973292606335,942.050590775485
956.134540229802,575.208595078466
59.7795429471558,234.779913372406
353.158571222071,821.194040197959
15.4034376515551,43.0238016578078
168.990029462704,649.115474956452
731.72238565867,647.745963136307
450.923706430945,547.008892286345
296.320805607773,744.692807074156
188.955015032545,686.775433365315
183.51115573727,368.484596490337
625.61856072969,780.227435151377
81.1257688657853,929.38597096873
775.712678608402,486.791632403172
435.858588580919,446.783749429806
306.349472016557,508.508655381127
510.77156417211,817.627708322262
794.831416883453,644.318130193692
378.609382660268,811.580458282477
532.825588799455,350.727103576883
